qid,text,answer,source,text_norm
CD_RISC_10,"I make my best effort, no matter what.",Occupational,Human27,"I make my best effort, no matter what"
CD_RISC_10,"I make my best effort, no matter what.",Emotional,Human28,"I make my best effort, no matter what"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human01,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human02,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human03,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human04,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human05,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human06,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Spiritual,Human07,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human08,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human09,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human10,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human11,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human12,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Intellectual,Human13,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Intellectual,Human14,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Intellectual,Human15,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human16,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human17,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human18,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Environmental,Human19,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human20,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Intellectual,Human21,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human22,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human23,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Intellectual,Human24,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human25,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human26,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Occupational,Human27,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_11,"I believe I can achieve my goals, even if there are obstacles.",Emotional,Human28,"I believe I can achieve my goals, even if there are obstacles"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human01,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human02,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Spiritual,Human03,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human04,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human05,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human06,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Intellectual,Human07,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human08,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human09,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human10,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human11,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Spiritual,Human12,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human13,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human14,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human15,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human16,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human17,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Social,Human18,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Intellectual,Human19,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human20,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human21,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human22,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Spiritual,Human23,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human24,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human25,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Spiritual,Human26,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human27,"Even when hopeless, I do not give up"
CD_RISC_12,"Even when hopeless, I do not give up.",Emotional,Human28,"Even when hopeless, I do not give up"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human01,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human02,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human03,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human04,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human05,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human06,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human07,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human08,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human09,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human10,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human11,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Environmental,Human12,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human13,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human14,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human15,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Environmental,Human16,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Environmental,Human17,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human18,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human19,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human20,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human21,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human22,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human23,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Emotional,Human24,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Intellectual,Human25,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human26,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human27,"In times of stress, I know where to find help"
CD_RISC_13,"In times of stress, I know where to find help.",Social,Human28,"In times of stress, I know where to find help"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human01,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human02,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human03,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human04,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human05,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human06,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human07,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human08,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Occupational,Human09,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human10,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human11,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human12,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human13,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human14,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human15,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human16,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human17,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human18,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human19,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human20,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human21,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human22,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Environmental,Human23,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human24,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human25,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human26,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Intellectual,Human27,"Under pressure, I stay focused and think clearly"
CD_RISC_14,"Under pressure, I stay focused and think clearly.",Emotional,Human28,"Under pressure, I stay focused and think clearly"
CD_RISC_15,I prefer to take the lead in problem-solving.,Emotional,Human01,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human02,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human03,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Social,Human04,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human05,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Occupational,Human06,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human07,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human08,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human09,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human10,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human11,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human12,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human13,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human14,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human15,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Social,Human16,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Occupational,Human17,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Emotional,Human18,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human19,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human20,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human21,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human22,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human23,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human24,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human25,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Occupational,Human26,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human27,I prefer to take the lead in problem-solving
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,Human28,I prefer to take the lead in problem-solving
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human01,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human02,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human03,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human04,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human05,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human06,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human07,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Occupational,Human08,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human09,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human10,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human11,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human12,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human13,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human14,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human15,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human16,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human17,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Social,Human18,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human19,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human20,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human21,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human22,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Spiritual,Human23,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Intellectual,Human24,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human25,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human26,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human27,I am not easily discouraged by failure
CD_RISC_16,I am not easily discouraged by failure.,Emotional,Human28,I am not easily discouraged by failure
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human01,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human02,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human03,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human04,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human05,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human06,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Intellectual,Human07,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Spiritual,Human08,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human09,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human10,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human11,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Spiritual,Human12,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human13,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Occupational,Human14,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human15,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human16,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human17,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human18,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human19,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human20,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human21,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human22,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human23,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human24,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Physical,Human25,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human26,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human27,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,Human28,I think of myself as a strong person when dealing with life's challenges and difficulties
CD_RISC_18,I make unpopular or difficult decisions.,Emotional,Human01,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Emotional,Human02,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Emotional,Human03,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,Human04,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,Human05,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Occupational,Human06,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,Human07,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,Human08,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Occupational,Human09,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Intellectual,Human10,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Social,Human11,I make unpopular or difficult decisions
CD_RISC_18,I make unpopular or difficult decisions.,Occupational,Human12,I make unpopular or difficult decisions
