qid,dataset,text,exact_5of5,exact_4of5,exact_3of5,exact_2of5,exact_1of5
PERMA7_4,PERMA,To what extent do you feel contented?,['Emotional'],[],['Occupational'],[],[]
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",[],"['Emotional', 'Occupational']",[],['Social'],"['Financial', 'Spiritual']"
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",[],"['Environmental', 'Spiritual']",['Emotional'],['Occupational'],['Physical']
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",[],"['Emotional', 'Environmental', 'Spiritual']",[],[],"['Intellectual', 'Occupational', 'Physical']"
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",['Environmental'],['Occupational'],"['Physical', 'Spiritual']",['Emotional'],[]
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",['Occupational'],['Emotional'],[],"['Environmental', 'Spiritual']","['Intellectual', 'Physical']"
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",[],['Emotional'],['Environmental'],[],"['Physical', 'Spiritual']"
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",[],['Emotional'],[],['Environmental'],[]
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",[],['Environmental'],[],"['Emotional', 'Physical']",[]
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",[],"['Emotional', 'Environmental']",[],[],[]
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",['Emotional'],[],[],['Environmental'],['Spiritual']
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",['Emotional'],[],[],['Environmental'],['Spiritual']
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",['Emotional'],[],[],[],"['Environmental', 'Physical']"
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",['Emotional'],[],[],['Environmental'],['Spiritual']
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",['Emotional'],[],['Spiritual'],[],['Environmental']
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",['Emotional'],[],[],['Environmental'],['Financial']
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",[],['Physical'],['Environmental'],['Social'],"['Emotional', 'Occupational']"
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",['Emotional'],[],['Spiritual'],"['Environmental', 'Physical']",['Intellectual']
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",[],"['Emotional', 'Physical']",['Social'],"['Environmental', 'Intellectual']",['Occupational']
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",[],['Intellectual'],['Emotional'],[],[]
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",[],"['Emotional', 'Environmental', 'Social']",[],[],['Occupational']
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",[],"['Emotional', 'Environmental']",[],['Social'],['Spiritual']
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",['Physical'],[],['Social'],['Emotional'],"['Environmental', 'Spiritual']"
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",[],['Emotional'],['Environmental'],"['Intellectual', 'Social']",['Physical']
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",[],"['Emotional', 'Environmental', 'Social']",[],[],"['Financial', 'Occupational', 'Spiritual']"
PWB_1,PWB,I like most parts of my personality.,['Social'],[],['Physical'],"['Environmental', 'Intellectual']","['Occupational', 'Spiritual']"
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.","['Occupational', 'Social']",['Emotional'],[],"['Intellectual', 'Physical', 'Spiritual']",[]
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.","['Emotional', 'Social']",['Occupational'],['Spiritual'],"['Environmental', 'Intellectual']",[]
PWB_4,PWB,The demands of everyday life often get me down.,[],"['Emotional', 'Occupational']",[],[],"['Financial', 'Intellectual']"
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,['Occupational'],['Emotional'],[],['Intellectual'],['Social']
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,['Social'],[],[],[],['Emotional']
PWB_7,PWB,I live life one day at a time and don't really think about the future.,[],['Spiritual'],['Intellectual'],"['Emotional', 'Environmental', 'Financial']","['Occupational', 'Physical']"
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",['Emotional'],[],[],"['Environmental', 'Spiritual']","['Financial', 'Intellectual', 'Social']"
PWB_9,PWB,I am good at managing the responsibilities of daily life.,['Occupational'],[],[],[],"['Financial', 'Intellectual']"
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,['Occupational'],[],[],['Emotional'],[]
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",[],['Intellectual'],[],['Emotional'],"['Occupational', 'Spiritual']"
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,['Spiritual'],"['Emotional', 'Intellectual']",[],['Social'],[]
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",['Social'],[],[],"['Occupational', 'Spiritual']",[]
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,['Emotional'],['Intellectual'],['Social'],"['Financial', 'Occupational']",[]
PWB_15,PWB,I tend to be influenced by people with strong opinions.,[],['Social'],[],"['Intellectual', 'Spiritual']",[]
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,['Social'],[],[],[],[]
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",[],['Social'],[],"['Intellectual', 'Spiritual']",[]
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",['Spiritual'],[],[],[],['Social']
PWS_1,PWS,I am always optimistic about my future.,['Financial'],[],[],"['Emotional', 'Occupational']",['Intellectual']
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,['Social'],['Emotional'],[],[],[]
PWS_3,PWS,Members of my family come to me for support.,['Social'],[],[],[],['Financial']
PWS_4,PWS,My physical health has restricted me in the past.,['Physical'],[],[],[],[]
PWS_5,PWS,I believe there is a real purpose for my life.,[],['Spiritual'],[],['Occupational'],"['Financial', 'Intellectual']"
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,['Intellectual'],[],['Spiritual'],['Emotional'],[]
PWS_7,PWS,I rarely count on good things happening to me.,['Emotional'],[],[],"['Environmental', 'Occupational', 'Social', 'Spiritual']",[]
PWS_8,PWS,"In general, I feel confident about my abilities.",['Intellectual'],['Emotional'],[],"['Physical', 'Social', 'Spiritual']",['Occupational']
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,"['Social', 'Spiritual']",[],"['Emotional', 'Occupational']",[],"['Environmental', 'Financial']"
PWS_10,PWS,My body seems to resist physical illness very well.,['Physical'],[],[],[],[]
PWS_11,PWS,Life does not hold much future promise for me.,[],['Financial'],['Emotional'],"['Intellectual', 'Occupational', 'Spiritual']",['Social']
PWS_12,PWS,I avoid activities which require me to concentrate.,['Intellectual'],[],[],['Occupational'],['Environmental']
PWS_13,PWS,I always look on the bright side of things.,['Emotional'],[],['Occupational'],"['Environmental', 'Spiritual']",[]
PWS_14,PWS,I sometimes think I am a worthless individual.,['Occupational'],[],[],"['Emotional', 'Spiritual']",[]
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,['Social'],[],[],[],[]
PWS_16,PWS,My physical health is excellent.,['Physical'],[],[],[],[]
PWS_17,PWS,Sometimes I don't understand what life is all about.,[],"['Emotional', 'Spiritual']",['Social'],"['Environmental', 'Intellectual']",['Occupational']
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",['Intellectual'],[],[],[],[]
PWS_19,PWS,"In the past, I have expected the best.",['Emotional'],[],['Social'],[],"['Intellectual', 'Occupational', 'Spiritual']"
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,['Intellectual'],['Financial'],['Occupational'],[],[]
PWS_21,PWS,My family has been available to support me in the past.,[],['Social'],['Financial'],[],['Emotional']
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",['Physical'],[],[],[],[]
PWS_23,PWS,I feel a sense of mission about my future.,['Spiritual'],[],[],"['Emotional', 'Intellectual']","['Financial', 'Occupational']"
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,"['Intellectual', 'Occupational']",[],[],[],"['Emotional', 'Financial', 'Physical']"
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.","['Emotional', 'Social']",['Occupational'],[],"['Environmental', 'Intellectual', 'Spiritual']",['Financial']
PWS_26,PWS,I will always be secure with who I am.,['Social'],[],[],['Spiritual'],['Financial']
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",['Social'],[],[],[],[]
PWS_28,PWS,I expect to always be physically healthy.,['Physical'],[],[],[],[]
PWS_29,PWS,I have felt in the past that my life was meaningless.,[],['Emotional'],[],"['Occupational', 'Spiritual']",[]
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",['Intellectual'],[],[],[],[]
PWS_31,PWS,Things will not work out the way I want them to in the future.,['Financial'],[],[],[],['Emotional']
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",['Social'],[],['Spiritual'],[],[]
PWS_33,PWS,My friends will be there for me when I need help.,['Social'],[],[],[],['Spiritual']
PWS_34,PWS,I expect my physical health to get worse.,['Physical'],[],[],[],[]
PWS_35,PWS,It seems that my life has always had purpose.,['Occupational'],[],['Spiritual'],[],"['Emotional', 'Environmental', 'Financial', 'Intellectual']"
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,['Spiritual'],[],"['Emotional', 'Occupational']",[],"['Environmental', 'Intellectual', 'Social']"
UCLA_1,UCLA,I am unhappy doing so many things alone,"['Emotional', 'Occupational']",[],[],['Physical'],"['Environmental', 'Financial', 'Social']"
UCLA_2,UCLA,I have nobody to talk to,['Social'],[],[],['Environmental'],[]
UCLA_3,UCLA,I cannot tolerate being so alone,['Social'],['Emotional'],[],[],['Environmental']
UCLA_4,UCLA,I lack companionship,['Social'],[],[],[],[]
UCLA_5,UCLA,I feel as if nobody really understands me,['Emotional'],['Spiritual'],['Intellectual'],['Social'],[]
UCLA_6,UCLA,I find myself waiting for people to call or write,['Social'],[],[],[],[]
UCLA_7,UCLA,There is no one I can turn to,['Spiritual'],[],[],"['Environmental', 'Social']","['Emotional', 'Financial']"
UCLA_8,UCLA,I am no longer close to anyone,['Social'],[],[],[],"['Environmental', 'Spiritual']"
UCLA_9,UCLA,My interests and ideas are not shared by those around me,['Intellectual'],[],[],[],[]
UCLA_10,UCLA,I feel left out,['Emotional'],['Intellectual'],['Spiritual'],"['Physical', 'Social']",['Environmental']
UCLA_11,UCLA,I feel completely alone,['Emotional'],[],['Social'],['Spiritual'],[]
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,['Social'],[],[],[],"['Emotional', 'Spiritual']"
UCLA_13,UCLA,My social relationships are superficial,['Social'],[],[],[],[]
UCLA_14,UCLA,I feel starved for company,['Financial'],['Occupational'],[],[],[]
UCLA_15,UCLA,No one really knows me well,"['Intellectual', 'Social']",[],['Spiritual'],[],['Occupational']
UCLA_16,UCLA,I feel isolated from others,['Social'],[],[],[],['Emotional']
UCLA_17,UCLA,I am unhappy being so withdrawn,['Emotional'],[],[],[],"['Intellectual', 'Occupational', 'Social']"
UCLA_18,UCLA,It is difficult for me to make friends,['Social'],[],[],[],[]
UCLA_19,UCLA,I feel shut out and excluded by others,['Social'],[],[],[],[]
UCLA_20,UCLA,People are around me but not with me,['Social'],[],[],[],[]
