qid,dataset,text,dimension_model,dimensions
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_15,['Environmental']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_16,['Intellectual']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_17,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_18,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_19,['Environmental']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_20,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_21,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_22,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_23,['Environmental']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_24,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_25,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_26,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_27,['Emotional']
CD_RISC_4,HUMAN,I can deal with whatever comes my way.,human_28,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_01,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_02,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_03,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_04,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_05,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_06,['Occupational']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_07,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_08,['Occupational']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_09,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_10,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_11,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_12,['Environmental']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_13,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_14,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_15,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_16,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_17,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_18,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_19,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_20,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_21,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_22,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_23,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_24,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_25,['Intellectual']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_26,['Emotional']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_27,['Occupational']
CD_RISC_5,HUMAN,Past successes give me confidence.,human_28,['Occupational']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_01,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_02,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_03,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_04,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_05,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_06,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_07,['Intellectual']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_08,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_09,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_10,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_11,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_12,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_13,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_14,['Intellectual']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_15,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_16,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_17,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_18,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_19,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_20,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_21,['Intellectual']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_22,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_23,['Spiritual']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_24,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_25,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_26,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_27,['Emotional']
CD_RISC_6,HUMAN,I try to see the humorous side of things when I am faced with problems.,human_28,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_01,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_02,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_03,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_04,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_05,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_06,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_07,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_08,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_09,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_10,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_11,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_12,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_13,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_14,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_15,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_16,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_17,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_18,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_19,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_20,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_21,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_22,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_23,['Intellectual']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_24,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_25,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_26,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_27,['Emotional']
CD_RISC_7,HUMAN,Having to cope with stress can make me stronger.,human_28,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_01,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_02,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_03,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_04,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_05,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_06,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_07,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_08,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_09,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_10,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_11,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_12,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_13,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_14,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_15,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_16,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_17,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_18,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_19,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_20,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_21,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_22,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_23,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_24,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_25,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_26,['Emotional']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_27,['Physical']
CD_RISC_8,HUMAN,"I tend to bounce back after illness, injury, or other hardships.",human_28,['Physical']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_01,['Emotional']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_02,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_03,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_04,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_05,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_06,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_07,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_08,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_09,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_10,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_11,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_12,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_13,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_14,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_15,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_16,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_17,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_18,['Intellectual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_19,['Environmental']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_20,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_21,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_22,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_23,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_24,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_25,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_26,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_27,['Spiritual']
CD_RISC_9,HUMAN,I believe most things happen for a reason.,human_28,['Spiritual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_01,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_02,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_03,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_04,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_05,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_06,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_07,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_08,['Spiritual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_09,['Occupational']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_10,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_11,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_12,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_13,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_14,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_15,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_16,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_17,['Occupational']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_18,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_19,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_20,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_21,['Emotional']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_22,['Occupational']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_23,['Occupational']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_24,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_25,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_26,['Intellectual']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_27,['Occupational']
CD_RISC_10,HUMAN,"I make my best effort, no matter what.",human_28,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_01,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_02,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_03,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_04,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_05,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_06,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_07,['Spiritual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_08,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_09,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_10,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_11,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_12,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_13,['Intellectual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_14,['Intellectual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_15,['Intellectual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_16,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_17,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_18,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_19,['Environmental']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_20,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_21,['Intellectual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_22,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_23,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_24,['Intellectual']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_25,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_26,['Emotional']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_27,['Occupational']
CD_RISC_11,HUMAN,"I believe I can achieve my goals, even if there are obstacles.",human_28,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_01,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_02,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_03,['Spiritual']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_04,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_05,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_06,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_07,['Intellectual']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_08,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_09,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_10,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_11,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_12,['Spiritual']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_13,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_14,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_15,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_16,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_17,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_18,['Social']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_19,['Intellectual']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_20,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_21,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_22,['Emotional']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_23,['Spiritual']
CD_RISC_12,HUMAN,"Even when hopeless, I do not give up.",human_24,['Emotional']
