qid,dataset,text,dimension_model,dimensions,scores,delta
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",DeepSeek-V3.2,['Physical'],[0.36290842294692993],0.0
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,DeepSeek-V3.2,['Emotional'],[0.3759753704071045],0.0
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,DeepSeek-V3.2,['Social'],[0.49114665389060974],0.0
PERMA7_3,PERMA,To what extent do you feel loved?,DeepSeek-V3.2,['Emotional'],[0.483406126499176],0.0
PERMA7_4,PERMA,To what extent do you feel contented?,DeepSeek-V3.2,['Emotional'],[0.41802978515625],0.0
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",DeepSeek-V3.2,['Occupational'],[0.33062130212783813],0.0
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",DeepSeek-V3.2,['Emotional'],[0.10497552901506424],0.0
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",DeepSeek-V3.2,['Emotional'],[0.10713590681552887],0.0
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",DeepSeek-V3.2,['Emotional'],[0.10132831335067749],0.0
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",DeepSeek-V3.2,['Emotional'],[0.13790638744831085],0.0
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",DeepSeek-V3.2,['Emotional'],[0.06079450249671936],0.0
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",DeepSeek-V3.2,['Emotional'],[0.084379643201828],0.0
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",DeepSeek-V3.2,['Environmental'],[0.13023634254932404],0.0
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",DeepSeek-V3.2,['Environmental'],[0.14158296585083008],0.0
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",DeepSeek-V3.2,['Emotional'],[0.0743422880768776],0.0
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",DeepSeek-V3.2,['Emotional'],[0.1217888817191124],0.0
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",DeepSeek-V3.2,['Emotional'],[0.1572168618440628],0.0
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",DeepSeek-V3.2,['Emotional'],[0.12471737712621689],0.0
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",DeepSeek-V3.2,['Emotional'],[0.11452221870422363],0.0
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",DeepSeek-V3.2,['Emotional'],[0.09758219122886658],0.0
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",DeepSeek-V3.2,['Physical'],[0.16899624466896057],0.0
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",DeepSeek-V3.2,['Emotional'],[0.07145896553993225],0.0
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",DeepSeek-V3.2,['Emotional'],[0.20418459177017212],0.0
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",DeepSeek-V3.2,['Intellectual'],[0.29706865549087524],0.0
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",DeepSeek-V3.2,['Social'],[0.05176103487610817],0.0
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",DeepSeek-V3.2,['Emotional'],[0.11064143478870392],0.0
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",DeepSeek-V3.2,['Physical'],[0.05845663323998451],0.0
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",DeepSeek-V3.2,['Emotional'],[0.13625213503837585],0.0
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",DeepSeek-V3.2,['Emotional'],[0.1040433794260025],0.0
PWB_1,PWB,I like most parts of my personality.,DeepSeek-V3.2,['Social'],[0.2526872456073761],0.0
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.",DeepSeek-V3.2,['Social'],[0.26488879323005676],0.0
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.",DeepSeek-V3.2,['Social'],[0.2941212058067322],0.0
PWB_4,PWB,The demands of everyday life often get me down.,DeepSeek-V3.2,['Financial'],[0.2878061830997467],0.0
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,DeepSeek-V3.2,['Occupational'],[0.3050084710121155],0.0
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,DeepSeek-V3.2,['Social'],[0.420848548412323],0.0
PWB_7,PWB,I live life one day at a time and don't really think about the future.,DeepSeek-V3.2,['Emotional'],[0.26096656918525696],0.0
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",DeepSeek-V3.2,['Emotional'],[0.3450789153575897],0.0
PWB_9,PWB,I am good at managing the responsibilities of daily life.,DeepSeek-V3.2,['Occupational'],[0.3786487877368927],0.0
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,DeepSeek-V3.2,['Emotional'],[0.37115973234176636],0.0
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",DeepSeek-V3.2,['Intellectual'],[0.4299905598163605],0.0
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,DeepSeek-V3.2,['Spiritual'],[0.37088334560394287],0.0
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",DeepSeek-V3.2,['Social'],[0.3772623836994171],0.0
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,DeepSeek-V3.2,['Emotional'],[0.24935458600521088],0.0
PWB_15,PWB,I tend to be influenced by people with strong opinions.,DeepSeek-V3.2,['Social'],[0.2521258592605591],0.0
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,DeepSeek-V3.2,['Social'],[0.5537141561508179],0.0
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",DeepSeek-V3.2,['Social'],[0.26350417733192444],0.0
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",DeepSeek-V3.2,['Spiritual'],[0.32274672389030457],0.0
PWS_1,PWS,I am always optimistic about my future.,DeepSeek-V3.2,['Financial'],[0.23794931173324585],0.0
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,DeepSeek-V3.2,['Social'],[0.3148466944694519],0.0
PWS_3,PWS,Members of my family come to me for support.,DeepSeek-V3.2,['Social'],[0.24600917100906372],0.0
PWS_4,PWS,My physical health has restricted me in the past.,DeepSeek-V3.2,['Physical'],[0.4784688651561737],0.0
PWS_5,PWS,I believe there is a real purpose for my life.,DeepSeek-V3.2,['Spiritual'],[0.35641488432884216],0.0
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,DeepSeek-V3.2,['Intellectual'],[0.4394237697124481],0.0
PWS_7,PWS,I rarely count on good things happening to me.,DeepSeek-V3.2,['Social'],[0.2507920563220978],0.0
PWS_8,PWS,"In general, I feel confident about my abilities.",DeepSeek-V3.2,['Intellectual'],[0.3577962815761566],0.0
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,DeepSeek-V3.2,['Financial'],[0.2343757152557373],0.0
PWS_10,PWS,My body seems to resist physical illness very well.,DeepSeek-V3.2,['Physical'],[0.46658334136009216],0.0
PWS_11,PWS,Life does not hold much future promise for me.,DeepSeek-V3.2,['Financial'],[0.2929894030094147],0.0
PWS_12,PWS,I avoid activities which require me to concentrate.,DeepSeek-V3.2,['Intellectual'],[0.40486589074134827],0.0
PWS_13,PWS,I always look on the bright side of things.,DeepSeek-V3.2,['Emotional'],[0.23717749118804932],0.0
PWS_14,PWS,I sometimes think I am a worthless individual.,DeepSeek-V3.2,['Occupational'],[0.31693828105926514],0.0
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,DeepSeek-V3.2,['Social'],[0.3150582015514374],0.0
PWS_16,PWS,My physical health is excellent.,DeepSeek-V3.2,['Physical'],[0.6068128943443298],0.0
PWS_17,PWS,Sometimes I don't understand what life is all about.,DeepSeek-V3.2,['Social'],[0.2990618050098419],0.0
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",DeepSeek-V3.2,['Intellectual'],[0.6093108654022217],0.0
PWS_19,PWS,"In the past, I have expected the best.",DeepSeek-V3.2,['Emotional'],[0.12902997434139252],0.0
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,DeepSeek-V3.2,['Intellectual'],[0.34212589263916016],0.0
PWS_21,PWS,My family has been available to support me in the past.,DeepSeek-V3.2,['Financial'],[0.3149707317352295],0.0
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",DeepSeek-V3.2,['Physical'],[0.4992745816707611],0.0
PWS_23,PWS,I feel a sense of mission about my future.,DeepSeek-V3.2,['Spiritual'],[0.29383522272109985],0.0
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,DeepSeek-V3.2,['Intellectual'],[0.2575267255306244],0.0
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.",DeepSeek-V3.2,['Emotional'],[0.23363393545150757],0.0
PWS_26,PWS,I will always be secure with who I am.,DeepSeek-V3.2,['Social'],[0.23209881782531738],0.0
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",DeepSeek-V3.2,['Social'],[0.44119030237197876],0.0
PWS_28,PWS,I expect to always be physically healthy.,DeepSeek-V3.2,['Physical'],[0.5642917156219482],0.0
PWS_29,PWS,I have felt in the past that my life was meaningless.,DeepSeek-V3.2,['Emotional'],[0.3762570321559906],0.0
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",DeepSeek-V3.2,['Intellectual'],[0.5680669546127319],0.0
PWS_31,PWS,Things will not work out the way I want them to in the future.,DeepSeek-V3.2,['Financial'],[0.22148668766021729],0.0
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",DeepSeek-V3.2,['Social'],[0.39850592613220215],0.0
PWS_33,PWS,My friends will be there for me when I need help.,DeepSeek-V3.2,['Social'],[0.2002924233675003],0.0
PWS_34,PWS,I expect my physical health to get worse.,DeepSeek-V3.2,['Physical'],[0.48682138323783875],0.0
PWS_35,PWS,It seems that my life has always had purpose.,DeepSeek-V3.2,['Financial'],[0.3333788514137268],0.0
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,DeepSeek-V3.2,['Emotional'],[0.33642053604125977],0.0
UCLA_1,UCLA,I am unhappy doing so many things alone,DeepSeek-V3.2,['Occupational'],[0.29072901606559753],0.0
UCLA_2,UCLA,I have nobody to talk to,DeepSeek-V3.2,['Social'],[0.15948523581027985],0.0
UCLA_3,UCLA,I cannot tolerate being so alone,DeepSeek-V3.2,['Social'],[0.25118687748908997],0.0
UCLA_4,UCLA,I lack companionship,DeepSeek-V3.2,['Social'],[0.41576769948005676],0.0
UCLA_5,UCLA,I feel as if nobody really understands me,DeepSeek-V3.2,['Emotional'],[0.25286176800727844],0.0
UCLA_6,UCLA,I find myself waiting for people to call or write,DeepSeek-V3.2,['Social'],[0.2614515423774719],0.0
UCLA_7,UCLA,There is no one I can turn to,DeepSeek-V3.2,['Financial'],[0.11350120604038239],0.0
UCLA_8,UCLA,I am no longer close to anyone,DeepSeek-V3.2,['Social'],[0.34147506952285767],0.0
UCLA_9,UCLA,My interests and ideas are not shared by those around me,DeepSeek-V3.2,['Intellectual'],[0.3040952980518341],0.0
UCLA_10,UCLA,I feel left out,DeepSeek-V3.2,['Emotional'],[0.2401459515094757],0.0
UCLA_11,UCLA,I feel completely alone,DeepSeek-V3.2,['Emotional'],[0.2997013032436371],0.0
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,DeepSeek-V3.2,['Social'],[0.2500324249267578],0.0
UCLA_13,UCLA,My social relationships are superficial,DeepSeek-V3.2,['Social'],[0.527376651763916],0.0
UCLA_14,UCLA,I feel starved for company,DeepSeek-V3.2,['Financial'],[0.29406026005744934],0.0
UCLA_15,UCLA,No one really knows me well,DeepSeek-V3.2,['Social'],[0.17634990811347961],0.0
UCLA_16,UCLA,I feel isolated from others,DeepSeek-V3.2,['Social'],[0.39229583740234375],0.0
UCLA_17,UCLA,I am unhappy being so withdrawn,DeepSeek-V3.2,['Emotional'],[0.18838928639888763],0.0
UCLA_18,UCLA,It is difficult for me to make friends,DeepSeek-V3.2,['Social'],[0.4132281541824341],0.0
UCLA_19,UCLA,I feel shut out and excluded by others,DeepSeek-V3.2,['Social'],[0.3025971055030823],0.0
UCLA_20,UCLA,People are around me but not with me,DeepSeek-V3.2,['Social'],[0.30995750427246094],0.0
