qid,dataset,text,dimension_model,dimensions,scores,delta
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,Llama-4,"['Occupational', 'Intellectual', 'Physical']","[0.31155410408973694, 0.2726215720176697, 0.26246973872184753]",0.1
PERMA1_3,PERMA,How often do you feel joyful?,Llama-4,"['Emotional', 'Occupational', 'Intellectual']","[0.282819539308548, 0.23580507934093475, 0.1956050544977188]",0.1
PERMA1_4,PERMA,How often do you feel anxious?,Llama-4,['Emotional'],[0.27653756737709045],0.1
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,Llama-4,"['Physical', 'Intellectual', 'Occupational', 'Emotional', 'Spiritual']","[0.3298509418964386, 0.32850363850593567, 0.3019210398197174, 0.25038203597068787, 0.2441064864397049]",0.1
PERMA2_1,PERMA,How would you say your health is?,Llama-4,['Physical'],[0.5629093050956726],0.1
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,Llama-4,"['Spiritual', 'Occupational', 'Intellectual']","[0.513418436050415, 0.46696555614471436, 0.42671701312065125]",0.1
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,Llama-4,"['Social', 'Emotional', 'Financial']","[0.3943403959274292, 0.3102973997592926, 0.30511870980262756]",0.1
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,Llama-4,"['Occupational', 'Intellectual']","[0.5255707502365112, 0.4555972218513489]",0.1
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,Llama-4,"['Intellectual', 'Occupational', 'Emotional']","[0.37555816769599915, 0.34874850511550903, 0.32587921619415283]",0.1
PERMA3_5,PERMA,How lonely do you feel in your daily life?,Llama-4,"['Emotional', 'Social', 'Occupational', 'Environmental', 'Spiritual']","[0.31317228078842163, 0.28542739152908325, 0.255344033241272, 0.23292633891105652, 0.22657351195812225]",0.1
PERMA4_1,PERMA,How satisfied are you with your current physical health?,Llama-4,['Physical'],[0.5792338252067566],0.1
PERMA5_1,PERMA,How often do you feel positive?,Llama-4,"['Emotional', 'Spiritual', 'Social']","[0.24419145286083221, 0.23519328236579895, 0.15779568254947662]",0.1
PERMA5_2,PERMA,How often do you feel angry?,Llama-4,['Emotional'],[0.30280911922454834],0.1
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,Llama-4,"['Occupational', 'Intellectual', 'Physical', 'Emotional', 'Financial', 'Environmental']","[0.25299158692359924, 0.23230046033859253, 0.1955297589302063, 0.1743435561656952, 0.16523700952529907, 0.15362942218780518]",0.1
PERMA5_4,PERMA,How often do you feel sad?,Llama-4,['Emotional'],[0.32809099555015564],0.1
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,Llama-4,"['Intellectual', 'Physical', 'Occupational']","[0.28401491045951843, 0.25675061345100403, 0.23293891549110413]",0.1
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",Llama-4,['Physical'],[0.39726755023002625],0.1
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,Llama-4,"['Spiritual', 'Intellectual']","[0.3962049186229706, 0.31355729699134827]",0.1
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,Llama-4,"['Social', 'Financial']","[0.32908281683921814, 0.29621461033821106]",0.1
PERMA7_3,PERMA,To what extent do you feel loved?,Llama-4,['Emotional'],[0.38970136642456055],0.1
PERMA7_4,PERMA,To what extent do you feel contented?,Llama-4,"['Emotional', 'Occupational', 'Intellectual', 'Spiritual', 'Social', 'Physical']","[0.31841304898262024, 0.29473409056663513, 0.26661622524261475, 0.2657564580440521, 0.2554300129413605, 0.22652627527713776]",0.1
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",Llama-4,"['Emotional', 'Financial', 'Spiritual', 'Physical', 'Occupational']","[0.30895763635635376, 0.2843545973300934, 0.2823180854320526, 0.24106453359127045, 0.23723623156547546]",0.1
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",Llama-4,"['Environmental', 'Spiritual', 'Occupational', 'Financial', 'Social', 'Intellectual', 'Emotional', 'Physical']","[0.08618004620075226, 0.06778182834386826, 0.021393271163105965, 0.020732248201966286, 0.01716471090912819, 0.0027296070475131273, -0.0005707689560949802, -0.008439009077847004]",0.1
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",Llama-4,"['Environmental', 'Spiritual', 'Emotional', 'Intellectual', 'Social', 'Physical', 'Occupational', 'Financial']","[0.034751541912555695, 0.030393842607736588, 0.013949478045105934, 0.008695503696799278, -0.016193576157093048, -0.03245154395699501, -0.03367146477103233, -0.04733538255095482]",0.1
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",Llama-4,"['Environmental', 'Spiritual', 'Physical', 'Occupational', 'Financial', 'Intellectual', 'Social', 'Emotional']","[0.0936882272362709, 0.06411594897508621, 0.038691576570272446, 0.01952955313026905, 0.01909462735056877, 0.013799409382045269, 0.01017824187874794, 0.006478666793555021]",0.1
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",Llama-4,"['Environmental', 'Emotional', 'Spiritual', 'Occupational', 'Intellectual', 'Social', 'Physical']","[0.06898488104343414, 0.05014623701572418, 0.04438173025846481, 0.026824776083230972, 0.026273058727383614, 0.0032944076228886843, -0.01722840406000614]",0.1
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",Llama-4,"['Environmental', 'Emotional', 'Spiritual', 'Intellectual', 'Physical', 'Social']","[0.041054852306842804, 0.0361541248857975, -0.025175077840685844, -0.038039665669202805, -0.0430314876139164, -0.0576007179915905]",0.1
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",Llama-4,"['Environmental', 'Emotional', 'Financial', 'Intellectual', 'Spiritual', 'Physical']","[0.033538222312927246, 0.019814783707261086, -0.021264314651489258, -0.037773266434669495, -0.0444248765707016, -0.04521266743540764]",0.1
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",Llama-4,['Environmental'],[0.11148899793624878],0.1
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Llama-4,"['Environmental', 'Emotional']","[0.11508805304765701, 0.07939912378787994]",0.1
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",Llama-4,"['Environmental', 'Emotional', 'Social', 'Intellectual', 'Financial']","[0.03616948053240776, 0.028875192627310753, -0.03434797003865242, -0.04078846797347069, -0.04755460098385811]",0.1
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",Llama-4,"['Emotional', 'Environmental', 'Spiritual', 'Financial']","[0.05543128401041031, 0.005560025107115507, -0.010150546208024025, -0.02481343410909176]",0.1
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",Llama-4,"['Emotional', 'Environmental', 'Physical', 'Spiritual', 'Financial']","[0.07030165940523148, 0.018838364630937576, -0.0001880224299384281, -0.016374193131923676, -0.025679809972643852]",0.1
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",Llama-4,"['Emotional', 'Environmental', 'Financial', 'Spiritual']","[0.06746327877044678, 0.026318693533539772, -0.013299711048603058, -0.02141646482050419]",0.1
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",Llama-4,"['Emotional', 'Spiritual', 'Environmental', 'Financial', 'Physical', 'Social']","[0.05231676623225212, 0.016594087705016136, -0.0025959729682654142, -0.02521057240664959, -0.03264155983924866, -0.04399668425321579]",0.1
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",Llama-4,"['Environmental', 'Emotional', 'Financial', 'Social', 'Intellectual', 'Spiritual', 'Physical']","[0.05100835859775543, 0.04733072593808174, 0.02086552605032921, -0.018044911324977875, -0.03230111673474312, -0.03617363050580025, -0.0447499118745327]",0.1
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",Llama-4,"['Physical', 'Environmental', 'Emotional', 'Spiritual', 'Financial']","[0.15620963275432587, 0.13928724825382233, 0.08828028291463852, 0.0855565145611763, 0.07303609699010849]",0.1
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",Llama-4,"['Emotional', 'Environmental', 'Intellectual', 'Spiritual', 'Physical', 'Financial', 'Occupational', 'Social']","[0.022741785272955894, 0.020214270800352097, -0.00507258391007781, -0.007511442061513662, -0.039560168981552124, -0.04374968260526657, -0.06352031975984573, -0.06622235476970673]",0.1
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",Llama-4,"['Social', 'Physical', 'Emotional', 'Environmental', 'Intellectual', 'Occupational']","[0.1643410325050354, 0.15795296430587769, 0.13860617578029633, 0.13614243268966675, 0.11796922236680984, 0.06812576204538345]",0.1
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",Llama-4,"['Intellectual', 'Emotional']","[0.2360156923532486, 0.22049091756343842]",0.1
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",Llama-4,"['Environmental', 'Social', 'Emotional', 'Financial', 'Intellectual', 'Physical']","[0.009532208554446697, 0.0012339845998212695, -0.03865201771259308, -0.06061391904950142, -0.0733543336391449, -0.07853958010673523]",0.1
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",Llama-4,"['Environmental', 'Social', 'Emotional', 'Spiritual', 'Financial', 'Intellectual']","[0.044290296733379364, 0.0047074900940060616, -0.0005842687678523362, -0.035828087478876114, -0.03627118468284607, -0.05089559778571129]",0.1
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",Llama-4,"['Social', 'Physical', 'Financial', 'Intellectual', 'Environmental']","[0.01128577534109354, -0.00918064545840025, -0.04856633022427559, -0.07708042114973068, -0.08198188245296478]",0.1
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",Llama-4,"['Emotional', 'Environmental', 'Social', 'Intellectual', 'Physical', 'Financial', 'Spiritual']","[0.024307796731591225, 0.01527638453990221, 0.003479188308119774, -0.010728356428444386, -0.02328287996351719, -0.035861313343048096, -0.04202548786997795]",0.1
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",Llama-4,"['Social', 'Financial', 'Environmental', 'Emotional', 'Intellectual', 'Occupational', 'Spiritual', 'Physical']","[0.032221678644418716, 0.0223060492426157, 0.014217636547982693, -0.000892745447345078, -0.028433548286557198, -0.03316430374979973, -0.03652152419090271, -0.055465251207351685]",0.1
PWB_1,PWB,I like most parts of my personality.,Llama-4,"['Physical', 'Social', 'Spiritual', 'Emotional', 'Intellectual', 'Financial']","[0.28918081521987915, 0.24253049492835999, 0.22843019664287567, 0.21918055415153503, 0.20846937596797943, 0.1948620080947876]",0.1
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.",Llama-4,"['Emotional', 'Spiritual', 'Intellectual', 'Social', 'Occupational', 'Physical', 'Financial']","[0.1899903416633606, 0.18686534464359283, 0.18512214720249176, 0.17676442861557007, 0.1622142493724823, 0.14955927431583405, 0.1367376148700714]",0.1
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.",Llama-4,"['Emotional', 'Spiritual', 'Social', 'Intellectual', 'Occupational', 'Environmental']","[0.2582855224609375, 0.24670612812042236, 0.24390076100826263, 0.2430873066186905, 0.2230113446712494, 0.20875118672847748]",0.1
PWB_4,PWB,The demands of everyday life often get me down.,Llama-4,"['Emotional', 'Occupational', 'Environmental', 'Intellectual', 'Spiritual', 'Social', 'Physical']","[0.27431145310401917, 0.2451036125421524, 0.21743273735046387, 0.21209242939949036, 0.18758589029312134, 0.18620479106903076, 0.18255053460597992]",0.1
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,Llama-4,"['Occupational', 'Emotional', 'Intellectual', 'Spiritual', 'Physical']","[0.24418318271636963, 0.23813246190547943, 0.23492586612701416, 0.16619007289409637, 0.15461909770965576]",0.1
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,Llama-4,"['Social', 'Emotional']","[0.30755090713500977, 0.23584777116775513]",0.1
PWB_7,PWB,I live life one day at a time and don't really think about the future.,Llama-4,"['Intellectual', 'Environmental', 'Spiritual', 'Emotional', 'Physical']","[0.25889962911605835, 0.24380971491336823, 0.2297506034374237, 0.17889924347400665, 0.17246128618717194]",0.1
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",Llama-4,"['Emotional', 'Spiritual', 'Social', 'Environmental', 'Financial', 'Intellectual']","[0.26168692111968994, 0.21362411975860596, 0.2070738673210144, 0.20493176579475403, 0.20311738550662994, 0.19937318563461304]",0.1
PWB_9,PWB,I am good at managing the responsibilities of daily life.,Llama-4,"['Occupational', 'Intellectual']","[0.406811386346817, 0.37294527888298035]",0.1
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,Llama-4,"['Occupational', 'Spiritual']","[0.393949419260025, 0.30843082070350647]",0.1
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",Llama-4,['Intellectual'],[0.4378972053527832],0.1
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,Llama-4,"['Spiritual', 'Intellectual', 'Emotional']","[0.3862381875514984, 0.37528905272483826, 0.36027172207832336]",0.1
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",Llama-4,"['Spiritual', 'Social', 'Financial']","[0.3799630105495453, 0.37591516971588135, 0.2943199574947357]",0.1
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,Llama-4,"['Emotional', 'Intellectual']","[0.2636575698852539, 0.2615314722061157]",0.1
PWB_15,PWB,I tend to be influenced by people with strong opinions.,Llama-4,"['Social', 'Spiritual', 'Emotional', 'Intellectual']","[0.29928845167160034, 0.22166649997234344, 0.20695070922374725, 0.1997641921043396]",0.1
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,Llama-4,['Social'],[0.41797587275505066],0.1
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",Llama-4,"['Social', 'Intellectual', 'Spiritual', 'Emotional']","[0.24755977094173431, 0.19005684554576874, 0.17683878540992737, 0.15706263482570648]",0.1
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",Llama-4,['Spiritual'],[0.3793553411960602],0.1
PWS_1,PWS,I am always optimistic about my future.,Llama-4,"['Financial', 'Intellectual', 'Physical']","[0.31875136494636536, 0.25121670961380005, 0.2296435385942459]",0.1
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,Llama-4,"['Emotional', 'Social']","[0.26449665427207947, 0.25052112340927124]",0.1
PWS_3,PWS,Members of my family come to me for support.,Llama-4,"['Social', 'Financial', 'Spiritual']","[0.28209856152534485, 0.21721293032169342, 0.19942019879817963]",0.1
PWS_4,PWS,My physical health has restricted me in the past.,Llama-4,['Physical'],[0.4092381000518799],0.1
PWS_5,PWS,I believe there is a real purpose for my life.,Llama-4,"['Spiritual', 'Occupational', 'Intellectual']","[0.40670835971832275, 0.390420138835907, 0.327786386013031]",0.1
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,Llama-4,"['Intellectual', 'Spiritual', 'Occupational']","[0.4326583445072174, 0.38066306710243225, 0.3724142014980316]",0.1
PWS_7,PWS,I rarely count on good things happening to me.,Llama-4,"['Emotional', 'Spiritual', 'Financial', 'Social', 'Occupational', 'Physical', 'Environmental', 'Intellectual']","[0.20418941974639893, 0.19482482969760895, 0.14919815957546234, 0.13920274376869202, 0.13000299036502838, 0.11225541681051254, 0.11197172105312347, 0.10846857726573944]",0.1
PWS_8,PWS,"In general, I feel confident about my abilities.",Llama-4,"['Emotional', 'Physical', 'Spiritual', 'Intellectual']","[0.3369334936141968, 0.3127546012401581, 0.2935124933719635, 0.2887796461582184]",0.1
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,Llama-4,"['Spiritual', 'Social', 'Occupational', 'Emotional', 'Financial']","[0.2538255751132965, 0.22086423635482788, 0.20616665482521057, 0.19304955005645752, 0.1606348752975464]",0.1
PWS_10,PWS,My body seems to resist physical illness very well.,Llama-4,['Physical'],[0.42995211482048035],0.1
PWS_11,PWS,Life does not hold much future promise for me.,Llama-4,"['Intellectual', 'Spiritual', 'Financial', 'Emotional', 'Occupational', 'Physical']","[0.21964359283447266, 0.21946601569652557, 0.2167777568101883, 0.18119318783283234, 0.17102347314357758, 0.12414317578077316]",0.1
PWS_12,PWS,I avoid activities which require me to concentrate.,Llama-4,"['Intellectual', 'Occupational']","[0.40038254857063293, 0.32536423206329346]",0.1
PWS_13,PWS,I always look on the bright side of things.,Llama-4,"['Emotional', 'Spiritual', 'Occupational', 'Intellectual']","[0.2303335815668106, 0.2027106136083603, 0.19746994972229004, 0.15105241537094116]",0.1
PWS_14,PWS,I sometimes think I am a worthless individual.,Llama-4,"['Emotional', 'Spiritual', 'Occupational', 'Financial']","[0.24485346674919128, 0.2208753377199173, 0.21101775765419006, 0.17720717191696167]",0.1
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,Llama-4,['Social'],[0.3122516870498657],0.1
PWS_16,PWS,My physical health is excellent.,Llama-4,['Physical'],[0.6201238036155701],0.1
PWS_17,PWS,Sometimes I don't understand what life is all about.,Llama-4,"['Spiritual', 'Emotional', 'Social', 'Intellectual', 'Environmental', 'Occupational', 'Physical']","[0.26269522309303284, 0.2573922276496887, 0.25235992670059204, 0.2479075789451599, 0.2316192239522934, 0.1825961172580719, 0.17308686673641205]",0.1
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",Llama-4,['Intellectual'],[0.5690968632698059],0.1
PWS_19,PWS,"In the past, I have expected the best.",Llama-4,"['Emotional', 'Financial', 'Intellectual', 'Social', 'Spiritual']","[0.11830522119998932, 0.03512701764702797, 0.03235887363553047, 0.02970188483595848, 0.027677057310938835]",0.1
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,Llama-4,"['Intellectual', 'Occupational']","[0.3885653614997864, 0.3107233941555023]",0.1
PWS_21,PWS,My family has been available to support me in the past.,Llama-4,"['Financial', 'Social', 'Emotional']","[0.2784591317176819, 0.2592824697494507, 0.17924335598945618]",0.1
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",Llama-4,['Physical'],[0.5192360281944275],0.1
PWS_23,PWS,I feel a sense of mission about my future.,Llama-4,"['Spiritual', 'Occupational', 'Intellectual']","[0.33485883474349976, 0.2789524495601654, 0.26714786887168884]",0.1
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,Llama-4,"['Intellectual', 'Occupational', 'Physical', 'Spiritual']","[0.23597614467144012, 0.23423521220684052, 0.2272447645664215, 0.13875950872898102]",0.1
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.",Llama-4,"['Emotional', 'Intellectual', 'Social', 'Occupational', 'Spiritual', 'Financial', 'Environmental', 'Physical']","[0.1555745005607605, 0.15015806257724762, 0.1445835381746292, 0.11698837578296661, 0.10582894831895828, 0.10197661072015762, 0.07677709311246872, 0.05787402018904686]",0.1
PWS_26,PWS,I will always be secure with who I am.,Llama-4,"['Financial', 'Social', 'Spiritual', 'Emotional', 'Intellectual']","[0.2467048317193985, 0.22782862186431885, 0.1677342802286148, 0.1621941775083542, 0.14845804870128632]",0.1
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",Llama-4,['Social'],[0.4061615467071533],0.1
PWS_28,PWS,I expect to always be physically healthy.,Llama-4,['Physical'],[0.5930496454238892],0.1
PWS_29,PWS,I have felt in the past that my life was meaningless.,Llama-4,"['Emotional', 'Spiritual', 'Occupational']","[0.3217748999595642, 0.31679341197013855, 0.28605812788009644]",0.1
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",Llama-4,['Intellectual'],[0.5825426578521729],0.1
PWS_31,PWS,Things will not work out the way I want them to in the future.,Llama-4,"['Financial', 'Intellectual', 'Emotional', 'Occupational']","[0.19714738428592682, 0.14132200181484222, 0.11465909332036972, 0.10440396517515182]",0.1
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",Llama-4,"['Social', 'Spiritual']","[0.3400270342826843, 0.3085666596889496]",0.1
PWS_33,PWS,My friends will be there for me when I need help.,Llama-4,['Social'],[0.26867395639419556],0.1
PWS_34,PWS,I expect my physical health to get worse.,Llama-4,['Physical'],[0.5060238838195801],0.1
PWS_35,PWS,It seems that my life has always had purpose.,Llama-4,"['Occupational', 'Spiritual', 'Intellectual']","[0.4287099242210388, 0.33239081501960754, 0.3322995901107788]",0.1
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,Llama-4,"['Spiritual', 'Intellectual']","[0.3449772596359253, 0.2656787037849426]",0.1
UCLA_1,UCLA,I am unhappy doing so many things alone,Llama-4,"['Occupational', 'Physical', 'Emotional', 'Intellectual']","[0.24051007628440857, 0.23292261362075806, 0.1925194412469864, 0.18710683286190033]",0.1
UCLA_2,UCLA,I have nobody to talk to,Llama-4,['Social'],[0.1441507637500763],0.1
UCLA_3,UCLA,I cannot tolerate being so alone,Llama-4,"['Social', 'Emotional', 'Intellectual', 'Environmental']","[0.20545142889022827, 0.19853375852108002, 0.1387091875076294, 0.11593087762594223]",0.1
UCLA_4,UCLA,I lack companionship,Llama-4,['Social'],[0.31925642490386963],0.1
UCLA_5,UCLA,I feel as if nobody really understands me,Llama-4,"['Spiritual', 'Emotional', 'Intellectual', 'Social']","[0.2579078674316406, 0.2569812834262848, 0.19736897945404053, 0.18488778173923492]",0.1
UCLA_6,UCLA,I find myself waiting for people to call or write,Llama-4,"['Social', 'Intellectual', 'Occupational']","[0.23062872886657715, 0.1571987122297287, 0.1534101665019989]",0.1
UCLA_7,UCLA,There is no one I can turn to,Llama-4,"['Spiritual', 'Social', 'Emotional', 'Environmental', 'Financial']","[0.11839978396892548, 0.06665392220020294, 0.05949728935956955, 0.04112263768911362, 0.02649209275841713]",0.1
UCLA_8,UCLA,I am no longer close to anyone,Llama-4,['Social'],[0.3012665808200836],0.1
UCLA_9,UCLA,My interests and ideas are not shared by those around me,Llama-4,"['Intellectual', 'Social']","[0.3562230169773102, 0.3032819330692291]",0.1
