qid,text,Emotional,Environmental,Financial,Intellectual,Occupational,Physical,Social,Spiritual
CD_RISC_14,"Under pressure, I stay focused and think clearly.",0,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",1,0,0,3,2,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,1,4,0,0,0,3
CD_RISC_14,"Under pressure, I stay focused and think clearly.",6,1,3,8,7,2,5,4
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,1,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",3,1,0,2,0,0,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",2,0,0,4,3,1,0,0
CD_RISC_14,"Under pressure, I stay focused and think clearly.",0,0,0,1,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,3,0,2,1,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,2,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,3,2,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,2,5,4,0,3,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,2,0,3,0,0,1,0
CD_RISC_15,I prefer to take the lead in problem-solving.,3,1,0,5,2,0,4,0
CD_RISC_15,I prefer to take the lead in problem-solving.,8,6,2,7,4,3,5,1
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,2,1,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,2,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,2,3,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,4,3,0,2,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,1,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,3,0,2,4,0,5,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,2,0,0,1,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,3,1,0,2,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,2,1,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,2,0,0,1,0,0,3,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,1,0,0,2,0
CD_RISC_15,I prefer to take the lead in problem-solving.,6,2,1,8,5,4,7,3
CD_RISC_15,I prefer to take the lead in problem-solving.,3,0,4,5,1,0,2,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,1,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,0,2,0,1,0
CD_RISC_15,I prefer to take the lead in problem-solving.,1,0,0,2,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,5,1,7,4,3,2,6,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,1,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,1,0,0,0,0
CD_RISC_15,I prefer to take the lead in problem-solving.,0,0,0,2,0,0,1,0
CD_RISC_16,I am not easily discouraged by failure.,0,2,0,4,3,1,0,0
CD_RISC_16,I am not easily discouraged by failure.,3,0,0,0,1,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,3,0,0,1,0,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,2,3,4,0,5,0,0,1
CD_RISC_16,I am not easily discouraged by failure.,0,0,0,0,1,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,3,0,0,1,0
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,2,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,8,6,3,4,1,7,2,5
CD_RISC_16,I am not easily discouraged by failure.,3,0,0,1,0,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,6,2,0,5,4,0,3,1
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,3,1,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,4,0,0,2,1,0,0,3
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,0,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,3,0,0,0,1
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,0,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,4,0,0,3,0,0,2,1
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,0,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,0,1,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,3,0,0,0,1,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,2,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,8,2,1,7,5,3,4,6
CD_RISC_16,I am not easily discouraged by failure.,3,0,2,4,0,0,1,0
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,0,0,0,0,1
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,0,3,0,0,2
CD_RISC_16,I am not easily discouraged by failure.,2,0,0,1,0,0,0,3
CD_RISC_16,I am not easily discouraged by failure.,1,0,0,0,0,0,0,0
CD_RISC_16,I am not easily discouraged by failure.,4,3,0,0,2,0,1,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,3,0,0,0,0,0,1,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,0,0,3,1,0,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,2,0,0,0,1,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,2,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,2,0,0,1,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,2,7,4,8,6,3,5,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,4,3,0,2,0,0,0,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,5,1,0,4,0,0,2,3
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,4,0,0,3,1,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,3,0,0,1,0,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,4,1,0,0,0,2,0,3
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,3,0,0,2,0,0,0,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,4,2,0,0,3,0,0,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,2,0,0,0,3
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,0,1,0,0,3,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,0,1,0,0,0,2,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,3,1,0,0,0,0,0,2
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,2,0,0,0,0,0,0,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,1,0,0,0,0,0,0,0
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,2,0,0,0,0,0,0,1
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,7,3,5,4,2,8,1,6
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,0,1,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,2,0,0,1,0,0,3,0
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,0,3,1
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,7,6,5,4,2,1,8,3
CD_RISC_2,I have one close and secure relationship.,7,3,2,6,5,1,8,4
CD_RISC_2,I have one close and secure relationship.,0,0,0,0,0,0,1,0
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,0,1,0
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,0,3,1
CD_RISC_2,I have one close and secure relationship.,2,1,0,0,0,0,3,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,3,2
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,3,0,0,0,1,0,2,0
CD_RISC_2,I have one close and secure relationship.,2,1,0,0,0,0,3,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,0,0,0,0,0,0,1,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,7,4,3,5,2,1,8,6
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,3,0,1
CD_RISC_2,I have one close and secure relationship.,2,0,0,0,0,0,1,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,3,2
CD_RISC_2,I have one close and secure relationship.,3,0,0,1,0,0,4,2
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,1,0,0,0,0,0,2,0
CD_RISC_2,I have one close and secure relationship.,2,1,0,0,0,0,3,0
CD_RISC_2,I have one close and secure relationship.,0,0,0,0,0,0,1,0
CD_RISC_21,I have a strong sense of purpose in life.,4,3,0,0,1,0,2,5
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,0
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,0,1,0,0,3
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,2,1,3,8,6,5,7,4
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,3,1,0,0,0,0,2,4
CD_RISC_21,I have a strong sense of purpose in life.,3,0,0,2,1,0,0,4
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,1,0,0,0,3
CD_RISC_21,I have a strong sense of purpose in life.,1,0,0,0,0,0,0,2
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,0,1,0,0,2,0,0,3
CD_RISC_21,I have a strong sense of purpose in life.,0,1,0,0,2,0,0,3
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,2,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,3,2,0,0,0,0,1,4
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,0,1,0,0,3
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,8,2,4,7,3,1,5,6
CD_RISC_21,I have a strong sense of purpose in life.,7,5,6,8,2,4,1,3
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,1,0,0,2
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,0,0,0,0,0,0,0,1
CD_RISC_21,I have a strong sense of purpose in life.,2,0,0,0,0,0,0,1
CD_RISC_22,I feel like I am in control.,1,0,0,3,0,0,0,2
CD_RISC_22,I feel like I am in control.,4,2,3,0,1,0,0,5
CD_RISC_22,I feel like I am in control.,1,0,0,0,0,0,0,0
CD_RISC_22,I feel like I am in control.,2,0,0,1,0,0,0,0
CD_RISC_22,I feel like I am in control.,3,0,0,1,0,0,0,2
CD_RISC_22,I feel like I am in control.,0,0,0,1,2,0,0,3
CD_RISC_22,I feel like I am in control.,6,2,0,4,0,1,3,5
CD_RISC_22,I feel like I am in control.,8,2,3,6,4,5,7,1
CD_RISC_22,I feel like I am in control.,2,0,0,1,0,0,0,0
CD_RISC_22,I feel like I am in control.,7,2,5,3,6,1,4,8
CD_RISC_22,I feel like I am in control.,0,0,0,0,0,0,0,0
CD_RISC_22,I feel like I am in control.,0,3,0,2,0,1,0,0
CD_RISC_22,I feel like I am in control.,2,1,0,0,0,0,0,3
CD_RISC_22,I feel like I am in control.,2,0,0,1,0,0,0,3
CD_RISC_22,I feel like I am in control.,1,0,0,0,0,0,0,0
CD_RISC_22,I feel like I am in control.,0,0,0,0,0,0,1,0
CD_RISC_22,I feel like I am in control.,1,0,0,0,0,0,0,2
CD_RISC_22,I feel like I am in control.,2,0,0,1,0,0,0,3
CD_RISC_22,I feel like I am in control.,1,0,0,0,0,0,0,2
CD_RISC_22,I feel like I am in control.,0,2,0,3,1,0,0,0
CD_RISC_22,I feel like I am in control.,2,0,0,3,0,0,1,0
CD_RISC_22,I feel like I am in control.,4,0,2,0,1,5,0,3
CD_RISC_22,I feel like I am in control.,8,3,2,7,4,1,5,6
CD_RISC_22,I feel like I am in control.,3,0,0,4,0,0,2,1
CD_RISC_22,I feel like I am in control.,2,0,0,1,0,0,0,0
CD_RISC_22,I feel like I am in control.,4,2,0,0,0,1,3,0
CD_RISC_22,I feel like I am in control.,0,1,2,0,3,0,0,0
CD_RISC_24,I work to attain goals.,1,5,6,2,0,3,0,4
CD_RISC_24,I work to attain goals.,0,0,0,2,0,0,0,1
CD_RISC_24,I work to attain goals.,2,0,0,0,1,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,1,2,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,2,1,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,2,1,0,0,0
CD_RISC_24,I work to attain goals.,2,1,5,7,8,6,3,4
CD_RISC_24,I work to attain goals.,0,0,0,2,1,0,0,0
CD_RISC_24,I work to attain goals.,1,0,0,2,4,3,0,0
CD_RISC_24,I work to attain goals.,0,0,2,1,3,0,0,0
CD_RISC_24,I work to attain goals.,1,0,0,2,3,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,0,1,0,0,0
CD_RISC_24,I work to attain goals.,2,0,0,1,0,0,0,0
CD_RISC_24,I work to attain goals.,1,3,6,8,7,5,2,4
CD_RISC_24,I work to attain goals.,3,0,0,2,4,1,0,0
CD_RISC_24,I work to attain goals.,0,0,0,2,3,0,0,1
CD_RISC_24,I work to attain goals.,0,0,0,0,3,1,0,2
CD_RISC_24,I work to attain goals.,0,0,0,1,2,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,2,0,0,1,0
CD_RISC_24,I work to attain goals.,0,0,0,0,2,0,0,1
CD_RISC_24,I work to attain goals.,0,3,4,1,5,0,0,2
CD_RISC_24,I work to attain goals.,0,0,1,2,3,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,2,1,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,0,2,0,0,1
CD_RISC_24,I work to attain goals.,0,0,0,1,2,0,0,0
CD_RISC_24,I work to attain goals.,0,0,0,1,2,0,0,0
CD_RISC_24,I work to attain goals.,7,1,5,8,4,3,2,6
CD_RISC_25,I take pride in my achievements.,2,0,0,1,3,0,0,0
CD_RISC_25,I take pride in my achievements.,1,2,5,7,8,6,3,4
CD_RISC_25,I take pride in my achievements.,4,0,0,1,3,2,0,0
CD_RISC_25,I take pride in my achievements.,3,0,0,2,1,0,0,0
CD_RISC_25,I take pride in my achievements.,1,0,0,2,0,0,0,0
CD_RISC_25,I take pride in my achievements.,0,0,0,0,1,0,0,2
CD_RISC_25,I take pride in my achievements.,1,0,0,2,3,0,0,0
CD_RISC_25,I take pride in my achievements.,6,5,1,4,0,2,7,3
CD_RISC_25,I take pride in my achievements.,1,0,0,0,0,0,0,0
CD_RISC_25,I take pride in my achievements.,1,0,0,0,0,0,0,0
CD_RISC_25,I take pride in my achievements.,2,5,3,1,4,0,0,0
CD_RISC_25,I take pride in my achievements.,4,0,0,1,0,0,3,2
CD_RISC_25,I take pride in my achievements.,3,0,0,2,0,0,1,0
CD_RISC_25,I take pride in my achievements.,2,0,0,0,1,0,0,0
CD_RISC_25,I take pride in my achievements.,2,0,0,1,0,0,0,0
CD_RISC_25,I take pride in my achievements.,0,0,1,3,2,0,0,0
CD_RISC_25,I take pride in my achievements.,2,0,0,0,4,0,1,3
CD_RISC_25,I take pride in my achievements.,1,0,0,0,0,2,0,0
CD_RISC_25,I take pride in my achievements.,8,1,4,2,3,5,7,6
CD_RISC_25,I take pride in my achievements.,0,0,0,1,2,0,0,0
CD_RISC_25,I take pride in my achievements.,1,0,0,0,0,0,0,2
CD_RISC_25,I take pride in my achievements.,2,0,0,3,1,0,0,0
CD_RISC_25,I take pride in my achievements.,1,0,0,2,3,0,0,0
CD_RISC_25,I take pride in my achievements.,0,0,0,2,1,0,0,0
CD_RISC_25,I take pride in my achievements.,4,3,0,0,1,0,2,0
CD_RISC_25,I take pride in my achievements.,1,0,3,7,4,2,6,5
CD_RISC_25,I take pride in my achievements.,3,0,0,1,2,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,2,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,0,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,3,0,0,2,0,0,0,1
CD_RISC_4,I can deal with whatever comes my way.,1,5,0,4,2,0,0,3
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,0,2,0,0,3
CD_RISC_4,I can deal with whatever comes my way.,4,2,0,0,0,0,1,3
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,2,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,8,2,3,1,4,5,7,6
CD_RISC_4,I can deal with whatever comes my way.,6,7,3,4,2,1,8,5
CD_RISC_4,I can deal with whatever comes my way.,4,2,0,3,0,1,0,0
CD_RISC_4,I can deal with whatever comes my way.,2,0,0,0,0,0,0,1
CD_RISC_4,I can deal with whatever comes my way.,4,0,1,3,0,0,0,2
CD_RISC_4,I can deal with whatever comes my way.,3,0,0,2,0,0,0,1
CD_RISC_4,I can deal with whatever comes my way.,5,1,0,3,2,0,4,0
CD_RISC_4,I can deal with whatever comes my way.,2,0,0,1,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,0,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,2,3,0,0,0,0,0,1
CD_RISC_4,I can deal with whatever comes my way.,1,0,0,2,0,0,0,0
CD_RISC_4,I can deal with whatever comes my way.,3,0,0,1,0,0,0,2
