qid,dataset,text,ud_deprel
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,nsubj root det amod obj case nmod case obl punct
CD_RISC_22,CD-RISC,I feel like I am in control.,nsubj root mark nsubj cop case advcl punct
CD_RISC_23,CD-RISC,I like challenges.,nsubj root obj punct
CD_RISC_24,CD-RISC,I work to attain goals.,nsubj root mark advcl obj punct
CD_RISC_25,CD-RISC,I take pride in my achievements.,nsubj root obj case nmod:poss obl punct
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,advmod obj case det obl aux nsubj root nsubj aux ccomp obj mark advcl nmod:poss obj punct
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,advmod advmod aux nsubj root xcomp case obl nsubj aux acl:relcl punct
PERMA1_3,PERMA,How often do you feel joyful?,advmod advmod aux nsubj root xcomp punct
PERMA1_4,PERMA,How often do you feel anxious?,advmod advmod aux nsubj root xcomp punct
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,advmod advmod aux nsubj root det amod obj nsubj aux acl:relcl case obl punct
PERMA2_1,PERMA,How would you say your health is?,advmod aux nsubj root nmod:poss nsubj ccomp punct
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,case det obl aux nsubj root det amod cc conj obj punct
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,case det obl aux nsubj root obj cc conj case obl advmod nsubj advcl obj punct
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,case det obl aux nsubj root mark nsubj nsubj acl:relcl case nmod:poss obl cop ccomp cc conj punct
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,case det obl aux nsubj root xcomp cc conj case obl punct
PERMA3_5,PERMA,How lonely do you feel in your daily life?,advmod obj aux nsubj root case nmod:poss amod obl punct
PERMA4_1,PERMA,How satisfied are you with your current physical health?,advmod root aux:pass nsubj:pass case nmod:poss amod amod obl punct
PERMA5_1,PERMA,How often do you feel positive?,advmod advmod aux nsubj root xcomp punct
PERMA5_2,PERMA,How often do you feel angry?,advmod advmod aux nsubj root xcomp punct
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,advmod advmod cop nsubj root mark xcomp nmod:poss obj punct
PERMA5_4,PERMA,How often do you feel sad?,advmod advmod aux nsubj root xcomp punct
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,advmod advmod aux nsubj root obj case nmod mark advcl obj nsubj acl:relcl punct
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",advcl case obl case nmod:poss amod nmod cc conj punct root cop nmod:poss nsubj punct
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,case det obl aux nsubj root nsubj ccomp det obj case nmod case nmod:poss obl punct
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,advmod root cop nsubj case nmod:poss amod obl punct
PERMA7_3,PERMA,To what extent do you feel loved?,case det obl aux nsubj root xcomp punct
PERMA7_4,PERMA,To what extent do you feel contented?,case det obl aux nsubj root xcomp punct
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",advcl det obj advmod punct advmod ccomp aux nsubj root nsubj ccomp punct
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",case det amod obl punct det obj aux nsubj advmod root case obl case obl punct
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",case det amod obl punct advmod advmod punct case obl punct aux nsubj:pass advmod root obj mark xcomp advmod det obl:unmarked punct
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",case det amod obl punct det obj aux nsubj advmod root compound:prt case det obl punct
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",case det amod obl punct advmod amod obj case amod nmod aux nsubj root case obl punct
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj aux advmod advcl mark xcomp case nummod obl punct
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl compound:prt case det obl case det nmod cc amod conj punct
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",case det amod obl punct advmod advmod aux nsubj root obj xcomp mark nsubj advcl mark xcomp compound:prt mark advcl det obj punct
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj aux advmod advcl advmod punct
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl cc conj advmod punct
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl advmod xcomp punct
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl advmod xcomp punct
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl amod obj punct
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",case det amod obl punct advmod advmod aux nsubj root obj acl mark nsubj advcl obj punct
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",case det amod obl punct advmod advmod aux nsubj root obj acl case fixed amod obl punct
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",case det amod obl punct advmod aux nsubj root nmod:poss compound obj advmod punct
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",case det amod obl punct advmod advmod aux nsubj root obj mark advcl obj xcomp punct parataxis cc case det conj punct punct
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",case det amod obl punct advmod advmod aux nsubj root obj acl advmod mark advcl punct conj obj punct cc conj case amod obl punct
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",case det amod obl punct advmod nsubj:outer case det obl aux nsubj:outer cop mark nsubj mark root compound:prt amod obj mark acl obj xcomp punct
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",case det amod obl punct advmod advmod aux nmod:poss compound nsubj:pass cc compound conj root amod xcomp punct
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",case det amod obl punct advmod advmod aux nmod:poss compound nsubj:pass cc compound conj root amod obj case nmod mark advcl punct
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",case det amod obl punct advmod advmod aux nmod:poss compound nsubj:pass cc compound conj root obj xcomp cc conj mark advcl punct
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",case det amod obl punct advmod advmod aux nmod:poss compound nsubj:pass cc compound conj root obj case nmod cc conj case obl punct
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",case det amod obl punct advmod advmod aux nmod:poss compound nsubj:pass cc compound conj root amod obj mark nsubj advcl punct
PWB_1,PWB,I like most parts of my personality.,nsubj root amod obj case nmod:poss nmod punct
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.",advmod nsubj advcl case det obl case nmod:poss nmod punct nsubj cop root case obl nsubj aux advcl:relcl compound:prt advmod advmod punct
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.",det nsubj root advmod case obl punct cc nsubj cop advmod conj case nmod punct
PWB_4,PWB,The demands of everyday life often get me down.,det nsubj case amod nmod advmod root obj compound:prt punct
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,case amod obl nsubj root xcomp case nmod:poss obl case nmod punct
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,csubj amod obj aux cop root cc conj case obl punct
PWB_7,PWB,I live life one day at a time and don't really think about the future.,nsubj root obj nummod obl:unmarked case det obl cc aux advmod advmod conj case det obl punct
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",case obl punct nsubj root nsubj cop case ccomp case det nmod case obl nsubj acl:relcl punct
PWB_9,PWB,I am good at managing the responsibilities of daily life.,nsubj cop root mark advcl det obj case amod nmod punct
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,nsubj advmod root mark fixed nsubj aux advcl obj expl acl:relcl mark acl case obl punct
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",case obl punct nsubj aux cop det amod root case nmod punct conj punct cc conj punct
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,nsubj root expl cop ccomp mark csubj amod obj nsubj acl:relcl obj nsubj advcl:relcl case obl cc det conj punct
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",nsubj aux root obj case det amod obl punct amod mark xcomp nmod:poss obj case obl punct
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,nsubj root compound:prt xcomp mark xcomp amod obj cc conj case nmod:poss obl det amod obl:unmarked advmod punct
PWB_15,PWB,I tend to be influenced by people with strong opinions.,nsubj root mark aux:pass xcomp case obl:agent case amod nmod punct
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,nsubj aux advmod root amod amod cc conj obj case nmod punct
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",nsubj root obj case nmod:poss amod nmod punct advmod mark nsubj cop advcl case det obl amod amod nsubj acl:relcl punct
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",nsubj root obj case obl nsubj acl:relcl cop ccomp punct advmod case det obl case nmod nsubj acl:relcl cop ccomp punct
PWS_1,PWS,I am always optimistic about my future.,nsubj cop advmod root case nmod:poss obl punct
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,expl aux root nsubj advmod nsubj advcl xcomp case obl case det nmod nsubj acl:relcl punct
PWS_3,PWS,Members of my family come to me for support.,nsubj case nmod:poss nmod root case obl case obl punct
PWS_4,PWS,My physical health has restricted me in the past.,nmod:poss amod nsubj aux root obj case det obl punct
PWS_5,PWS,I believe there is a real purpose for my life.,nsubj root expl ccomp det amod nsubj case nmod:poss nmod punct
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,nsubj aux advmod root compound:prt obj nsubj acl:relcl obj mark xcomp cc conj punct
PWS_7,PWS,I rarely count on good things happening to me.,nsubj advmod root case amod obl acl case obl punct
PWS_8,PWS,"In general, I feel confident about my abilities.",case obl punct nsubj root xcomp case nmod:poss obl punct
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,advmod nsubj root mark nmod:poss nsubj aux advmod cop ccomp case obl advmod nsubj cop case advcl punct
PWS_10,PWS,My body seems to resist physical illness very well.,nmod:poss nsubj root mark xcomp amod obj advmod advmod punct
PWS_11,PWS,Life does not hold much future promise for me.,nsubj aux advmod root amod amod obj case obl punct
PWS_12,PWS,I avoid activities which require me to concentrate.,nsubj root obj nsubj acl:relcl obj mark xcomp punct
PWS_13,PWS,I always look on the bright side of things.,nsubj advmod root case det amod obl case nmod punct
PWS_14,PWS,I sometimes think I am a worthless individual.,nsubj advmod root nsubj cop det amod ccomp punct
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,nmod:poss nsubj root nsubj aux advmod ccomp case obl cc conj iobj case obl punct
PWS_16,PWS,My physical health is excellent.,nmod:poss amod nsubj cop root punct
PWS_17,PWS,Sometimes I don't understand what life is all about.,advmod nsubj aux advmod root det nsubj cop advmod ccomp punct
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",advmod punct nsubj root xcomp case det obl case amod nmod nsubj acl:relcl case nmod:poss amod obl punct
PWS_19,PWS,"In the past, I have expected the best.",case det obl punct nsubj aux root det obj punct
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,nsubj cop root case nmod:poss obl mark acl obj advmod case det obl punct
PWS_21,PWS,My family has been available to support me in the past.,nmod:poss nsubj aux cop root mark advcl obj case det obl punct
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",advcl case obl nsubj acl:relcl punct nmod:poss amod amod nsubj aux cop root punct
PWS_23,PWS,I feel a sense of mission about my future.,nsubj root det obj case nmod case nmod:poss nmod punct
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,det nsubj case nmod obj nsubj acl:relcl case det amod obl cop advmod advmod root case obl punct advmod advmod advmod parataxis cc advmod advmod conj punct punct
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.",case det obl punct nsubj advmod advmod root obj mark acl nmod:poss obj punct
PWS_26,PWS,I will always be secure with who I am.,nsubj aux advmod cop root case obl nsubj acl:relcl punct
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",case det obl punct nsubj aux advmod advmod root obj case obl nsubj aux acl:relcl nmod:poss obj cc conj punct
PWS_28,PWS,I expect to always be physically healthy.,nsubj root mark advmod cop advmod xcomp punct
PWS_29,PWS,I have felt in the past that my life was meaningless.,nsubj aux root case det obl mark nmod:poss nsubj cop ccomp punct
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",case det obl punct nsubj aux advmod root amod obj mark cop xcomp case nmod:poss amod compound punct obl punct
PWS_31,PWS,Things will not work out the way I want them to in the future.,nsubj aux advmod root compound:prt det obl:unmarked nsubj acl:relcl obj xcomp case det obl punct
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",case det obl punct nsubj aux root xcomp case obl case obl punct
PWS_33,PWS,My friends will be there for me when I need help.,nmod:poss nsubj aux cop root case obl advmod nsubj advcl obj punct
PWS_34,PWS,I expect my physical health to get worse.,nsubj root nmod:poss amod obj mark xcomp xcomp punct
PWS_35,PWS,It seems that my life has always had purpose.,expl root mark nmod:poss nsubj aux advmod ccomp obj punct
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,nmod:poss nsubj aux advmod root xcomp case amod amod obl punct
UCLA_1,UCLA,I am unhappy doing so many things alone,nsubj cop root xcomp advmod amod obj advmod
UCLA_2,UCLA,I have nobody to talk to,nsubj root obj mark acl punct
UCLA_3,UCLA,I cannot tolerate being so alone,nsubj aux advmod root cop advmod xcomp
UCLA_4,UCLA,I lack companionship,nsubj root obj
UCLA_5,UCLA,I feel as if nobody really understands me,nsubj root mark mark nsubj advmod advcl obj
UCLA_6,UCLA,I find myself waiting for people to call or write,nsubj root obj xcomp mark nsubj mark advcl cc conj
UCLA_7,UCLA,There is no one I can turn to,expl root det nsubj nsubj aux acl:relcl obl
UCLA_8,UCLA,I am no longer close to anyone,nsubj cop advmod advmod root case obl
UCLA_9,UCLA,My interests and ideas are not shared by those around me,nmod:poss nsubj:pass cc conj aux:pass advmod root case obl:agent case nmod
UCLA_10,UCLA,I feel left out,nsubj root xcomp compound:prt
UCLA_11,UCLA,I feel completely alone,nsubj root advmod xcomp
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,nsubj cop root mark xcomp compound:prt cc conj case obl case nmod
UCLA_13,UCLA,My social relationships are superficial,nmod:poss amod nsubj cop root
UCLA_14,UCLA,I feel starved for company,nsubj root xcomp case obl
UCLA_15,UCLA,No one really knows me well,det nsubj advmod root obj advmod
UCLA_16,UCLA,I feel isolated from others,nsubj root xcomp case obl
UCLA_17,UCLA,I am unhappy being so withdrawn,nsubj cop root aux:pass advmod advcl
UCLA_18,UCLA,It is difficult for me to make friends,expl cop root mark nsubj mark csubj obj
UCLA_19,UCLA,I feel shut out and excluded by others,nsubj root xcomp compound:prt cc conj case obl:agent
UCLA_20,UCLA,People are around me but not with me,nsubj cop case root cc advmod case conj
